ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Chromopainter4,Country,Class_big,Class_small
CHL72,0.0133939,0.00258087,0.00304781,0.00271602,-0.00357282,-0.000333885,0.000607168,-0.00420244,-0.00281996,-0.00264594,-0.00248513,0.00226523,0.00612183,0.00274649,0.00043367,0.00326245,-0.00853201,0.00494046,-0.00245923,0.00983439,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL30,0.0125646,1.62315e-05,0.0021376,0.00266301,-0.00249028,0.000542875,-0.00517916,0.00411383,-0.00316568,-0.000566223,-0.00380387,-0.000632304,0.000739174,0.00149733,-0.00426755,-0.00157254,-0.00415899,0.00152241,-0.0031708,0.00898354,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL63,0.0132996,0.0019327,0.004521,0.00214026,-0.00504189,2.38502e-05,0.000554538,-0.000828402,-0.00297373,-0.000710685,-0.00297861,-0.00156847,0.00385557,0.00109056,-0.0024615,-0.000745628,-0.00806581,0.00524691,-0.00266306,0.00853551,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL68,0.0135558,0.00211726,0.00311564,0.00274805,-0.00449809,-0.000941671,-0.00197417,-0.00140409,-0.00143719,-0.001269,-0.00492408,-0.00412865,0.00148807,0.00368451,-0.00239725,-0.00361128,-0.00581855,0.00691463,-0.00162743,0.0124396,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL40,0.0134867,0.00205939,0.00394103,0.00294958,-0.00441301,0.000115837,-0.00297982,0.00154591,-0.00293281,-0.002164,-0.00381274,-0.00023512,0.0016987,-0.00168185,-0.0020549,-0.000456968,-0.00442026,0.000828803,-0.00442988,0.00893297,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL59,0.0136467,0.00299275,0.0038032,0.00261679,-0.00635134,-0.00132013,0.000946887,-0.0061811,-0.00182361,-0.0019026,-0.00698843,-0.00274918,0.00203813,0.0041424,-0.00112339,-0.00338569,-0.00644826,0.0053933,-0.0019756,0.0108268,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL60,0.0139791,0.00240527,0.00390376,0.00251126,-0.00470466,-0.00038134,-0.00146514,-0.000570266,-0.00363631,-0.000731879,-0.00256035,0.00138717,0.00324673,0.000556435,-0.00326842,-0.00303721,-0.0050687,0.000441676,-0.00365523,0.00813929,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL66,0.0133294,0.00151186,0.00335931,0.00279562,-0.00414577,0.00109704,-0.00538982,0.00309659,-0.00031838,0.00180204,-0.00435827,-0.00208309,-0.000924996,0.00196748,0.00164684,4.76806e-05,-0.00486207,0.00631376,-0.00242587,0.0126625,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL62,0.0123216,-0.000402425,0.00267394,0.00349005,-0.0012469,0.00118344,-0.00389797,0.00150117,-0.00157287,-0.00144258,-0.00469361,-0.00453212,-0.00111679,0.00156072,-0.0032997,-0.00391435,-0.00623153,0.00204112,-0.00443611,0.0107532,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL15,0.0134124,0.00201132,0.00388222,0.00400934,-0.00273358,0.000873749,-0.00496485,0.00312301,-0.00415224,-0.00469066,-0.00611722,-5.37626e-05,-0.000618322,0.00113504,-0.00140225,-0.00164545,-0.00582153,0.00182237,-0.00654041,0.00820278,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL73,0.0137754,0.00136896,0.00311757,0.00301129,-0.00356555,0.000748726,-0.00363213,0.00190036,-0.00378216,-0.00112413,-0.0050366,-0.000890968,-0.00161628,-0.000616427,-0.0016847,0.000701417,-0.00320849,-0.00156207,-0.00296997,0.00863621,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL45,0.0129824,0.000264518,0.00260264,0.00253187,-0.00257392,0.000345525,-0.00385572,0.00222132,-0.00191172,0.000710666,-0.00547352,0.000110362,0.000521242,-0.000788316,-0.00178206,-0.000704863,-0.00913313,0.00273281,-0.00396063,0.0104525,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL61,0.0130462,0.00113694,0.00358133,0.00304196,-0.00228551,0.000412136,-0.00401446,0.00224487,-0.00290929,-0.00100875,-0.00416641,-0.00224519,-0.0015661,-0.000703621,-0.000510336,-0.00451003,-0.00562959,-0.000510077,-0.0020496,0.0081919,hspLAEAChinaN,China,East_Asia,East_Asia_China
CHL64,0.0138553,0.00252201,0.00318894,0.00267577,-0.00442218,-7.96883e-07,-0.000631985,-0.00327953,-0.00133101,0.00102409,-0.00330013,0.000647023,0.00419309,0.00115491,0.00108679,0.000607504,-0.00978755,0.00161864,-0.0029871,0.00974679,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL67,0.0139336,0.00257498,0.00363482,0.00219321,-0.00408136,0.00052733,-0.00251246,-0.000706517,-0.00323468,6.13475e-05,-0.00380253,-0.000886883,0.000878089,0.000165451,-5.88435e-05,-0.000232681,-0.00524313,0.00280319,-0.00311956,0.00679017,hspLAEAChinaNS,China,East_Asia,East_Asia_China
CHL71,0.0134418,0.00206996,0.00314387,0.00290301,-0.00262871,0.000346674,-0.00405847,-0.00127996,-0.000777866,-0.00229077,-0.00556417,-7.35551e-06,0.00153257,0.000641812,0.000782919,-0.0026048,-0.00669007,0.00338178,-0.00530595,0.00948219,hspLAEAChinaN,China,East_Asia,East_Asia_China
