ID,PC1,PC2,Class_small,Class_big
Hui_Henan,-0.103668646,-0.096537583,Hui_Henan,Sinitic
Korean_Heilongjiang,-0.090190583,-0.009395991,Korean_Heilongjiang,Koreanic
Tujia_Hunan,-0.142824112,-0.040625138,Tujia_Hunan,Tibeto_Burman
Yi_Sichuan,-0.11309188,-0.217505648,Yi_Sichuan,Tibeto_Burman
Tujia_Chongqing,0.112683825,-0.025657684,Tujia_Chongqing,Tibeto_Burman
Manchu_Heilongjiang,-0.162025059,-0.08660451,Manchu_Heilongjiang,Tungusic
Manchu_Shandong,-0.149188739,-0.065872404,Manchu_Shandong,Tungusic
Manchu_Hebei,-0.154905873,-0.053839398,Manchu_Hebei,Tungusic
Hui_Anhui,0.012446404,0.054565814,Hui_Anhui,Sinitic
Hui_Shandong,-0.063518493,0.080729428,Hui_Shandong,Sinitic
Hani_Arker,0.811569796,-0.176992245,Hani_Arker,Hani_Tibeto_Burman
Hui_Gansu,-0.101740977,-0.009486217,Hui_Gansu,Sinitic
Hani_Mawqtavq,0.602044255,-0.040248889,Hani_Mawqtavq,Hani_Tibeto_Burman
Manchu_Jilin,-0.095341476,-0.014815681,Manchu_Jilin,Tungusic
Mongolian_Liaoning,-0.091725867,0.004294656,Mongolian_Liaoning,Mongolic
Manchu_Beijing,-0.111983624,-0.073944709,Manchu_Beijing,Tungusic
Hani_Arghoeq,0.062601438,0.503095114,Hani_Arghoeq,Hani_Tibeto_Burman
Hani_Arjawr,0.129923994,0.36995967,Hani_Arjawr,Hani_Tibeto_Burman
Manchu_Liaoning,-0.11956856,-0.076732169,Manchu_Liaoning,Tungusic
Mongolian_InnerMongolia,-0.096159029,-0.013855873,Mongolian_InnerMongolia,Mongolic
Zhuang_Guangxi,-0.135336796,-0.010530541,Zhuang_Guangxi,Tai_Kadai
